"","x"
"MC5R",3.89749555447454
"ITGA7",3.89596745492886
"MASP1",3.89360990429351
"SUN1",3.89277317731565
"ARAP2",3.89256207367792
"KDM3B",3.89197276201063
"TJP1",3.88789937657718
"THEMIS",3.88692312198072
"ACAN",3.88655971372191
"COL1A1",3.88649790392746
"MCM4",3.8851415777648
"CSGALNACT2",3.88483706090796
"RASAL2",3.88147889048496
"GABRA2",3.88067466745767
"KCNB1",3.87891688034265
"ZNF563",3.87651767276805
"ZNF90",3.87568325205773
"MST1",3.87537554408856
"FHOD3",3.87507930796037
"AR",3.87497034681727
"ZNF264",3.87388637450682
"PPP2R1A",3.87314618067496
"ZBTB41",3.86694372115697
"ACTN2",3.86638572445313
"PCDHB15",3.86063064475824
"ESRP1",3.85762062072626
"LIMK1",3.85749442813448
"ATXN1",3.857099533661
"CNOT3",3.8528108638236
"HNRNPU",3.84534148239496
"DDR1",3.84449744327438
"ZXDA",3.83977713915316
"CTNNA1",3.83832139256228
"PAK2",3.83790134705403
"LRSAM1",3.83696202538062
"DCAF6",3.83475622066934
"DAPK1",3.83240761922371
"ADAMTS2",3.83154984660026
"ZNF443",3.82957429784693
"BEST3",3.82112613841957
"AMBRA1",3.81899859891654
"C5",3.81586875806321
"ZNF483",3.81476596528956
"PIK3C2A",3.80852900338138
"CTTN",3.80692337235435
"INPP5D",3.80609139356378
"STAT2",3.80359210340126
"PRPF8",3.80344124378649
"SAP130",3.79673715307757
"YY2",3.79601983483759
"PCDHB4",3.79290481480445
"AGT",3.79285555458556
"CCAR1",3.79212280984131
"FASN",3.78928464973178
"LSR",3.78684142983568
"SRPK2",3.78649003771143
"PRKACA",3.78628280650772
"FLNB",3.78565073303319
"HELQ",3.7827133786847
"MAP3K4",3.78123914281936
"CHRM3",3.7810298788682
"AXL",3.78101494516454
"CUL7",3.7802645078741
"KCNF1",3.77854787682773
"GYS2",3.77711566274618
"EIF3B",3.7768358120765
"TNRC6B",3.77614974910344
"IQGAP1",3.7745049323401
"SCAI",3.77163980217881
"RFX7",3.76868740654092
"CHST1",3.76858275295285
"PLEKHG5",3.76541022301354
"DNMT3B",3.76168431238529
"EXO1",3.75983838619574
"ADAMTSL1",3.75806196086692
"HAO1",3.75750042613445
"LMO7",3.75541532340313
"NF2",3.74829569181197
"AP1G1",3.7468236809171
"BARHL2",3.74526222160683
"BMS1",3.74304714945129
"ZNF433",3.74237002514726
"MGA",3.74041188542078
"DDX20",3.73861759784862
"RNF123",3.73546211803068
"CENPT",3.7329924893732
"SLTM",3.73165085040853
"EBF1",3.73114236427249
"ATP2A3",3.72926258876962
"EPS15L1",3.72848122697545
"ZNF510",3.72777754567549
"OR5T1",3.72571671294337
"PCDHAC2",3.7211120777448
"CIITA",3.71994195221176
"NLRP1",3.71985056066887
"HTR6",3.71980229479247
"FZD1",3.71807906786044
"TUBB6",3.71752397928527
"EPHA8",3.71556137944269
"CPSF2",3.71374706886247
"SF3B3",3.7135836376384
"KIDINS220",3.71347027531871
"GUCY2D",3.71156106627855
"DVL3",3.71010444763485
"IRF2",3.71005998675876
"MYO1C",3.70720684561761
"TERF1",3.70575917679066
"GBF1",3.7036193069036
"CTBP2",3.70225658176975
"ABCA9",3.70091752269723
"SSTR1",3.70048445896237
"ITGAX",3.70034553706149
"HPS1",3.69978586661956
"HMGXB4",3.69978130008008
"RPRD2",3.69971480787617
"ZNF366",3.69896352058531
"BMPR2",3.69747379992212
"KIF18B",3.69593976808279
"NLRP6",3.69475385827941
"MAST2",3.69436767141475
"TRBC2",3.69348921080653
"SOX13",3.6932878669784
"BCAS3",3.69219186015684
"MAP4",3.68783061027996
